y1,y2
33.86581967,36.56935331
13.07654273,18.0015521
13.38631841,22.71061859
23.14479399,19.31949493
49.77844395,38.77773211
48.83019389,36.71355528
20.05300432,21.51389225
35.45761403,34.68762871
45.93193933,47.26067436
40.59136707,39.21162991
31.68474469,35.27859291
-3.130620673,5.466711976
20.31431714,19.49653286
24.41960793,29.54523652
14.45683081,22.9690024
15.38824209,2.516999337
11.26765063,11.4343792
44.72885675,41.70945305
7.744577632,0.782234635
35.76174901,43.18554325
6.969195301,3.903452652
36.9608556,33.4521295
26.42588794,25.01056621
12.6886802,10.89968994
26.9410737,28.58078627
10.72476105,6.109457546
30.30860339,33.55831165
26.99735715,29.97927741
7.425495725,2.798807869
12.24987331,2.817150927
6.693061003,7.62503185
-0.54433873,0.981053338
24.79914676,21.75877728
47.97285447,41.61107376
36.70942303,30.86950857
28.35719843,26.00647077
41.02137847,43.19341115
9.03371181,4.884895908
46.00644139,45.40261016
13.28558053,5.400834707
19.80877546,25.8498379
8.863959521,7.157801104
35.41712559,27.96852862
-1.245700296,0.228981197
36.20997517,38.33409993
38.76728985,42.43546132
45.44743894,45.84106351
49.34578894,49.34841374
26.94036091,25.25665509
10.15433693,13.57108122
6.45021521,5.037525596
23.37306705,25.39244154
28.43681496,29.28045629
34.95350268,38.1443548
3.735757248,4.148132456
51.92914854,33.07980965
43.88661257,25.84895074
15.28699018,8.552400876
51.86418088,46.92789322
24.13347201,29.52415886
20.10876853,22.03173404
44.99891819,47.09594652
36.47219624,32.79569101
26.01222073,22.59728546
43.52724645,41.98487104
25.9297515,26.63117512
24.06511119,27.69435329
35.02988495,34.0032765
25.05524272,18.35949527
15.10133655,11.96453031
30.85133537,28.94617462
47.63175143,43.34435273
24.26006604,20.33883801
-1.451499426,5.630757051
23.2861636,22.19229184
13.87941627,15.00922006
10.89920636,20.06934269
36.02541541,41.66817817
19.58200504,20.18143314
24.63594923,19.50879691
17.87598062,18.02244467
9.32402203,7.012767963
9.516611982,13.00650971
-5.445758487,4.340755043
22.93945064,21.46986685
9.108231914,12.86413924
21.74071886,14.87776921
30.91839992,21.24292059
5.101882744,5.960362971
31.71766683,24.75334619
41.08860151,35.32036138
6.103445959,12.17866863
40.08672251,39.2535041
6.010067661,3.704478843
23.30914402,19.69417135
4.553640362,0.169706148
15.40582288,11.0338446
4.457023232,0.065028435
8.896084952,9.45898355
10.02042157,7.124202741
